iter	RMSE
356	133846106
357	133547151.9
358	133483977
359	133418087.3
360	133354511.3
361	133179941.1
362	132757840.2
363	132702037.3
364	132609685.7
365	132538465.4
366	132180471.3
367	131885101.1
368	131733171.7
369	131667001.1
370	131541476.9
371	131415688.5
372	131332646.4
373	130926586.3
374	130584586.1
375	130194553.1
376	130145223.7
377	130045620.7
378	129896762.4
379	129745244.4
380	129709856.1
381	129625453.5
382	129179129.2
383	129084669.6
384	129023212.2
385	128968873.9
386	128593596.1
387	128547516.7
388	128494132.7
389	128378348.7
390	128327459.4
